LEI_Code;Name
529900S9YO2JHTIIDG38;BAWAG Group AG
9ZHRYM6F437SQJ6OUG95;Raiffeisen Bank International AG
529900SXEWPJ1MRRX537;Raiffeisen-Holding Niederösterreich-Wien
529900XSTAE561178282;Raiffeisenbankengruppe OÖ Verbund eGen
AT0000000000043000VB;VOLKSBANK WIEN AG VB
A5GWLFH3KM7YV2SFQL84;Belfius Bank
549300DYPOFMXOR7XM56;Crelan
5493008QOCP58OLEN998;Investeringsmaatschappij Argenta
213800X3Q9LSAKRUWY91;KBC Groupe
MMYX0N4ZEZ13Z4XCG897;THE BANK OF NEW YORK MELLON
635400L14KNHZXPUZM19;Bank of Cyprus Holdings Public Limited Company
254900RNFMDM0P11YR84;ATLANTIC LUX HOLDCO S.A R.L.
VDYMYTQGZZ6DU0912C88;Bayerische Landesbank
851WYGNLUQLFZBSYGB56;COMMERZBANK Aktiengesellschaft
6TJCK1B7E7UTXP528Y04;Citigroup Global Markets Europe AG
5299007S3UH5RKUYDA52;DEUTSCHE APOTHEKER- UND ÄRZTEBANK EG
7LTWFZYICNSX8D621K86;DEUTSCHE BANK AKTIENGESELLSCHAFT
529900HNOAA1KXQJUQ27;DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main
0W2PZJM8XOY22M4GG883;DekaBank Deutsche Girozentrale
DZZ47B9A52ZJ6LT6VV95;Deutsche Pfandbriefbank AG
391200EEGLNXBBCVKC73;Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG
8IBZUGJ7JPLH368JE346;Goldman Sachs Bank Europe SE
529900JZTYE3W7WQH904;HASPA Finanzholding
TUKDD90GPC79G1KOE162;Hamburg Commercial Bank AG
549300ZK53CNGEEI6A29;J.P. Morgan SE
B81CK4ESI35472RHJ606;Landesbank Baden-Württemberg
DIZES5CFO5K3I5R58746;Landesbank Hessen-Thüringen Girozentrale
549300C9KPZR0VZ16R05;Morgan Stanley Europe Holding SE
529900GM944JT8YIRL63;Münchener Hypothekenbank eG
DSNHHQ2B9X5N6OUJ1236;Norddeutsche Landesbank - Girozentrale -
529900V3O1M5IHMOSF46;State Street Europe Holdings Germany S.a.r.l. & Co. KG
5299007QVIQ7IO64NX37;UBS Europe SE
529900SSGT49ZZSWYE62;Volkswagen Financial Services AG
529900S1KHKOEQL5CK20;Wüstenrot Bausparkasse Aktiengesellschaft
MAES062Z21O4RZ2U7M96;Danske Bank A/S
3M5E1GQGKL17HI6CPN30;Jyske Bank A/S
LIU16F6VZJSD6UKHD557;Nykredit Realkredit A/S
529900JG015JC10LED24;AS LHV Group
54930056IRBXK0Q1FP96;Abanca Corporacion Bancaria, S.A.
K8MS7FD7N5Z2WQ51AZ71;Banco Bilbao Vizcaya Argentaria, S.A.
5493006QMFDDMYWIAM13;Banco Santander, S.A.
95980020140005881190;Banco de Crédito Social Cooperativo
SI5RG2M0WQQLZCXKRM20;Banco de Sabadell, S.A.
VWMYAEQSTOPNV0SUGU82;Bankinter, S.A.
7CUNS533WID6K7DGFI87;CaixaBank, S.A.
549300OLBL49CW8CT155;Ibercaja Banco, S.A.
549300U4LIZV0REEQQ46;Kutxabank, S.A.
5493007SJLLCTM6J6M37;Unicaja Banco, S.A.
529900HEKOENJHPNN480;Kuntarahoitus Oyj
529900ODI3047E2LIV03;Nordea Bank Abp
7437003B5WFBOIEFY714;OP Osuuskunta
R0MUWSFPU8MPRO8K5P83;BNP Paribas
549300FH0WJAPEHTIQ77;BofA Securities Europe SA
969500STN7T9MRUMJ267;Bpifrance
9695000CG7B84NLR5984;Confédération Nationale du Crédit Mutuel
FR9695005MSX1OYEMGDF;Groupe BPCE
FR969500TJ5KRTCJQWXH;Groupe Crédit Agricole
F0HUI1NY1AZMJMD8LP67;HSBC Continental Europe
96950066U5XAAIRCPA78;La Banque Postale
96950001WI712W7PQG45;RCI Banque
549300HFEHJOXGE4ZE63;SFIL S.A.
O2RNE8IBXP4R0TD8PU41;Société générale S.A.
213800DBQIB6VBNU5C64;Alpha Bank S.A.
JEUVK5RWVJEN8W0C9M24;Eurobank Ergasias Services and Holdings S.A.
5UMCZOEYKCVFAW8ZLO05;National Bank of Greece, S.A.
M6AD1Y1KW32H8THQ6F76;Piraeus Financial Holdings
3H0Q3U74FVFED2SHZT16;MBH bankcsoport
529900W3MOO00A18X956;OTP-csoport
