LEI_Code,BankName,Country,TotalAssets,TotalAssets_norm,CR,M_i_final
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,96079.97843525,0.03544230828582831,0.06351346986232409,0.3220320155550138
2138008AVF4W7FMW8W87,CEC BANK SA,RO,19594.3948884513,0.005668657551441265,0.06637391737136125,0.7624004869932659
2138009Y59EAR7H1UO97,"Akciju sabiedrība ""Citadele banka""",LV,5032.17057082,0.0,0.10508257900006603,0.28467188890362616
213800DBQIB6VBNU5C64,Alpha Bank S.A.,GR,72269.488872,0.02617356550847592,0.06809061163841339,0.3511181088648151
213800HDJ876ACJXXD05,AIKGROUP (CY) LIMITED,SI,9795.48457334,0.0018542219444854014,0.11730531696281364,0.11283845440602346
213800TC9PZRBHMJW403,MDB Group Limited,MT,5118.91713805,3.376795829154865e-05,0.04187120609294505,0.303413488024192
213800X3Q9LSAKRUWY91,KBC Groupe,BE,356505.446981,0.13681849688581446,0.05087744223152549,0.30232975220852404
222100K6QL2V4MLHWQ08,LSF NANI INVESTMENTS S.A R.L.,PT,44528.16089267,0.015374659729594387,0.07121980401377954,0.24088161465632296
254900RNFMDM0P11YR84,ATLANTIC LUX HOLDCO S.A R.L.,DE,47507.80604836,0.016534550392174493,0.06147492036986665,0.32201375422433876
2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,IT,770518.393645,0.2979818992143867,0.05193645763560765,0.2711869197232416
391200EEGLNXBBCVKC73,Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG,DE,46912.89190614,0.01630296732689569,0.0841885952887309,0.37307430463785896
3H0Q3U74FVFED2SHZT16,MBH bankcsoport,HU,31704.6307068284,0.010382826089448257,0.07534289951667213,0.6023069493170417
3M5E1GQGKL17HI6CPN30,Jyske Bank A/S,DK,102776.303053009,0.0380489959925547,0.050663143812260274,0.2609578424922387
485100FX5Y9YLAQLNP12,Revolut Holdings Europe UAB,LT,27385.3809992426,0.008701465677919493,0.04736670864779554,0.3065777341248744
5299007QVIQ7IO64NX37,UBS Europe SE,DE,61062.88870446,0.02181115649182634,0.04905172640090362,0.20303858327425808
529900GGYMNGRQTDOO93,BNG Bank N.V.,NL,132223.99305378,0.04951213971663961,0.03254431426140464,0.6526559170583658
529900HNOAA1KXQJUQ27,"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main",DE,550605.05095128,0.2123759228516891,0.049198830980842136,0.31089199403403495
